UNHAPPY,AGE,HEALTH,RINCOM91,EDUC,SEX,RACE,TRAUMA1,MARITAL
1,43,3,17,11,1,1,0,3
0,44,2,18,16,1,2,-1,5
0,43,3,18,16,2,1,0,3
0,45,0,22,15,2,1,0,5
0,83,3,0,11,1,1,1,1
0,55,2,15,12,2,1,0,1
0,75,3,0,12,1,1,0,1
0,31,1,20,18,1,1,-1,3
0,54,2,2,18,2,1,-1,5
0,29,0,16,18,2,1,0,5
0,23,1,3,15,2,1,0,5
0,61,0,8,12,2,1,0,1
1,63,3,0,4,2,3,0,4
0,33,2,9,10,2,3,-1,5
0,36,0,10,14,2,2,0,5
0,39,2,0,8,2,2,-1,5
0,55,0,22,15,1,3,0,1
0,55,2,14,16,2,1,-1,1
0,34,0,21,16,1,1,0,1
0,36,1,15,14,2,1,-1,1
0,44,2,18,18,2,1,-1,1
1,80,0,0,18,1,1,0,2
0,32,0,11,16,1,3,1,5
0,37,0,4,5,1,3,1,1
1,32,3,13,13,1,3,-1,3
0,49,0,15,16,2,3,2,1
0,45,1,20,16,2,3,0,3
0,36,1,9,18,2,1,1,5
0,23,0,5,16,2,2,0,5
0,29,1,19,16,1,1,0,5
0,30,2,16,14,2,2,-1,5
0,40,1,16,16,2,2,0,5
0,26,0,11,11,2,1,0,5
0,66,0,0,12,1,1,1,1
0,53,0,10,14,2,3,2,1
0,20,1,2,12,2,3,-1,1
1,63,3,9,12,2,1,0,3
1,41,2,16,6,1,3,-1,1
0,33,2,17,14,2,1,0,3
0,34,1,12,12,1,3,0,1
0,61,1,13,16,2,3,-1,1
0,29,1,18,18,2,1,-1,1
0,45,1,20,13,2,1,-1,5
0,31,2,18,14,1,1,0,5
0,20,0,0,14,1,3,0,5
0,28,1,17,18,1,1,-1,1
0,34,1,18,18,2,1,0,3
0,45,1,18,13,2,1,-1,3
0,35,0,19,16,2,1,0,3
0,48,1,19,16,1,1,0,5
1,47,0,12,13,2,2,0,1
0,39,1,16,19,1,2,-1,3
0,20,2,0,13,1,2,1,5
0,27,1,4,15,2,2,1,1
0,36,2,6,12,1,1,-1,5
0,78,1,0,15,1,1,-1,1
0,42,2,16,12,2,3,-1,5
1,31,1,11,16,2,1,0,1
0,44,0,13,16,2,3,1,5
0,39,2,13,12,1,1,-1,1
1,19,2,0,11,2,1,-1,5
1,37,0,0,12,2,1,0,1
0,48,2,0,16,2,1,2,1
1,39,0,17,15,2,1,0,1
0,45,1,17,14,1,2,0,1
0,46,1,21,20,1,1,-1,1
0,23,1,15,16,2,1,-1,5
0,37,1,9,16,2,1,-1,1
0,27,2,17,13,1,1,1,5
0,23,2,4,16,2,1,-1,5
0,31,3,14,16,1,1,0,1
0,30,1,0,14,2,1,-1,1
0,77,3,0,16,1,1,-1,1
0,41,1,12,13,1,2,1,1
0,70,1,9,12,2,2,0,2
0,81,0,0,8,1,2,1,2
1,41,0,10,12,1,2,1,1
0,41,3,0,12,2,2,-1,3
1,69,0,0,12,2,2,1,2
1,41,2,0,12,2,2,-1,5
0,32,3,0,9,2,3,2,1
0,29,0,12,14,2,2,0,1
1,51,2,12,13,2,2,0,5
0,35,0,16,16,1,1,0,1
0,36,2,18,14,1,1,1,1
0,41,0,17,12,1,1,1,1
0,62,3,12,18,2,1,1,5
0,44,0,21,12,1,1,0,1
0,64,2,0,12,2,1,-1,1
0,49,2,18,15,1,1,-1,1
0,62,2,15,12,2,1,0,5
0,62,0,10,18,2,1,0,1
0,49,2,22,13,2,1,-1,1
1,49,1,0,15,2,1,-1,3
0,45,0,21,18,1,1,0,1
0,75,2,0,16,1,1,-1,2
0,75,3,0,16,1,1,0,1
0,18,2,0,11,1,3,1,5
0,31,2,17,16,1,1,-1,5
0,27,1,4,11,2,1,-1,5
0,45,2,20,15,1,1,-1,1
0,27,2,15,16,1,1,-1,1
0,31,2,18,20,1,3,0,1
0,28,0,16,13,1,1,0,5
0,52,0,18,14,1,1,1,1
0,69,0,9,7,1,1,0,1
0,43,2,18,12,1,1,1,1
1,28,2,15,16,1,1,0,1
0,52,4,1,14,2,1,-1,1
0,41,2,0,14,2,1,0,1
0,37,0,17,17,2,1,0,1
0,36,0,22,12,2,1,0,1
0,24,2,10,12,2,1,-1,1
0,51,1,21,19,1,1,0,1
0,57,1,21,17,1,1,-1,1
0,72,0,21,16,1,1,0,1
0,45,0,8,18,2,1,0,1
0,32,1,20,18,1,1,0,1
0,64,0,15,15,2,1,1,1
0,63,4,0,9,2,2,-1,2
0,50,0,16,15,1,2,0,5
0,71,4,0,7,2,2,-1,2
0,59,0,9,16,1,3,1,2
1,30,2,0,16,1,1,1,5
0,37,0,2,12,2,1,1,1
1,54,2,1,8,2,1,-1,1
0,43,2,14,6,1,1,0,1
0,99,1,22,18,1,2,9,9
0,62,0,0,12,2,2,0,1
0,60,1,17,14,2,2,-1,1
0,60,2,21,13,1,2,0,1
0,46,1,22,16,2,2,-1,1
1,28,3,9,13,2,1,0,1
0,30,0,0,12,2,1,1,3
0,27,1,15,15,1,1,-1,1
0,45,2,16,12,2,1,-1,3
0,51,2,20,16,1,1,-1,1
0,38,1,19,16,1,1,0,1
0,44,1,17,20,1,3,-1,1
0,40,1,19,18,1,1,0,1
0,50,0,15,13,2,1,0,1
0,51,1,16,12,1,1,-1,1
0,40,0,22,14,2,1,0,1
0,34,0,9,14,2,1,0,1
0,54,2,8,12,2,1,-1,2
0,59,2,21,20,1,1,-1,1
0,36,1,19,12,1,1,-1,5
0,35,3,17,14,1,1,-1,1
0,30,0,14,14,2,1,0,1
0,34,2,13,16,2,1,-1,1
0,32,0,0,12,1,1,0,1
0,73,1,0,12,2,1,0,2
0,66,0,0,16,1,1,0,1
0,33,0,18,16,2,1,0,5
0,38,0,22,17,2,1,1,1
0,49,2,22,20,2,1,-1,1
0,56,1,19,18,1,1,0,5
0,55,2,21,20,1,1,1,1
0,61,0,18,20,2,1,0,1
0,34,1,8,16,1,1,0,5
0,43,1,11,17,2,1,1,5
0,37,0,21,16,2,1,0,1
0,48,2,21,16,1,2,0,1
0,43,1,3,16,2,1,2,4
0,65,1,0,15,1,1,0,1
0,35,2,17,12,1,1,2,4
0,82,1,0,15,2,1,1,2
0,62,3,98,12,2,1,0,1
0,59,1,8,12,2,1,-1,2
0,38,1,20,12,1,1,-1,3
1,43,2,15,15,2,1,-1,1
0,31,2,14,12,1,1,-1,1
0,30,1,0,14,2,1,-1,1
1,40,2,16,16,1,1,-1,5
0,27,2,16,17,1,1,0,5
0,52,1,15,16,1,1,-1,3
0,32,2,17,12,2,1,0,1
0,70,2,0,15,1,1,-1,1
0,55,0,14,13,2,1,0,1
0,53,1,9,16,2,1,0,1
0,35,1,0,12,2,1,-1,3
0,99,0,0,20,2,1,0,2
0,30,0,3,12,2,1,1,1
1,79,3,0,8,2,1,2,2
1,72,4,8,8,2,1,-1,2
0,81,3,0,6,2,1,1,2
0,76,2,22,14,2,1,-1,2
0,30,1,18,16,1,1,0,1
0,45,2,0,12,2,1,-1,1
0,34,1,17,12,1,1,-1,3
0,71,0,0,12,1,1,0,1
0,43,2,13,16,2,1,-1,1
1,37,0,9,19,1,1,0,1
0,35,0,2,13,2,1,0,1
1,80,3,0,12,2,1,-1,2
0,75,3,8,12,2,1,-1,1
0,67,0,0,14,1,1,2,1
0,42,0,11,12,2,3,0,1
0,76,0,0,12,2,1,0,2
0,67,0,0,16,2,1,0,1
0,55,3,18,12,2,1,-1,5
0,66,0,20,20,1,2,2,2
0,69,0,22,16,1,1,1,1
0,57,1,18,14,2,2,-1,3
0,57,1,10,18,2,1,0,1
0,85,2,0,11,2,1,2,2
0,74,0,0,14,2,1,9,3
0,36,2,17,17,1,2,0,5
0,32,2,18,18,2,1,-1,1
0,46,0,21,18,1,1,0,1
0,30,2,12,14,2,1,-1,1
0,59,2,15,13,2,1,-1,1
0,39,1,21,17,1,1,0,1
0,49,1,16,14,2,1,1,3
0,51,0,11,13,2,1,0,3
0,73,0,0,10,2,1,2,2
0,47,4,0,6,1,1,-1,1
0,53,2,17,18,1,1,1,1
0,41,2,4,13,2,1,-1,1
0,38,0,11,11,1,1,2,3
0,54,1,0,12,2,1,1,1
0,58,0,18,17,1,1,1,1
0,52,0,18,13,1,1,1,1
0,33,0,0,15,2,2,2,1
0,71,1,5,6,2,2,-1,2
0,59,0,8,12,2,2,0,1
0,33,1,15,14,2,1,0,1
0,50,4,19,12,1,1,-1,1
0,51,2,18,14,2,1,0,1
0,60,1,15,12,2,1,-1,1
0,69,3,0,12,2,1,-1,1
1,41,0,20,17,2,3,1,1
0,49,1,18,16,1,1,0,1
0,57,2,15,12,1,1,-1,5
0,77,4,0,10,2,3,0,2
0,50,0,22,12,2,1,0,1
0,41,2,0,12,2,3,0,1
0,50,0,22,16,2,1,2,2
0,53,0,22,13,2,1,0,1
0,34,1,22,16,1,1,-1,1
0,47,1,15,12,2,1,-1,1
0,45,2,14,14,2,1,-1,1
0,35,1,14,19,1,1,0,1
0,72,1,0,8,1,1,1,1
0,37,2,16,14,1,1,-1,1
1,41,0,17,17,2,1,3,4
0,27,3,16,14,2,1,-1,5
0,27,2,15,16,2,1,0,5
0,50,0,19,14,1,1,1,1
0,28,1,16,16,1,1,0,1
0,31,2,13,16,1,1,0,1
1,51,2,15,12,1,1,1,5
1,25,0,0,9,2,2,1,5
1,41,3,10,11,1,3,-1,1
0,26,0,11,15,1,3,1,5
0,20,0,0,12,2,2,1,5
0,21,3,0,12,2,3,2,5
0,43,1,21,16,1,1,-1,1
0,44,1,20,16,1,1,0,1
0,43,0,22,15,2,1,0,1
0,39,1,18,15,1,1,0,1
0,54,2,17,16,2,1,0,1
0,47,2,18,14,2,1,0,3
0,77,3,0,15,2,1,-1,1
0,47,1,22,18,2,1,-1,1
0,27,2,0,9,2,2,-1,5
0,39,2,12,10,1,2,1,1
0,54,4,0,12,2,1,-1,3
0,44,1,0,12,2,1,-1,3
0,27,0,2,14,2,1,1,5
0,37,2,14,12,2,3,0,3
0,22,0,6,15,2,2,1,5
0,52,0,13,9,2,1,0,4
0,76,1,0,10,2,1,-1,1
0,54,2,13,12,2,1,-1,3
0,65,2,3,13,1,1,-1,1
0,71,2,0,14,2,1,-1,1
1,49,4,6,8,2,1,-1,1
0,24,3,15,12,2,2,0,1
0,43,3,15,13,1,1,0,1
0,41,2,17,15,1,2,-1,1
0,41,1,13,12,2,2,0,3
1,46,2,9,12,2,2,2,1
0,65,0,0,12,2,1,0,1
0,33,1,15,16,1,1,-1,5
0,33,2,10,14,2,1,0,4
0,45,0,9,12,2,1,0,1
0,25,0,0,18,2,3,0,5
0,24,2,10,16,1,1,1,5
0,45,3,15,12,1,1,0,1
0,65,0,0,12,2,1,0,1
0,44,0,0,12,1,1,1,5
0,30,2,10,12,2,1,-1,1
0,72,0,0,8,1,1,0,1
0,46,1,18,12,2,1,-1,3
0,64,0,13,13,2,1,0,1
0,75,0,0,12,1,1,0,3
1,71,0,0,16,1,1,0,5
0,41,0,17,20,2,1,0,1
0,69,3,0,12,2,1,0,1
0,37,2,20,18,1,1,-1,1
0,36,1,9,14,2,1,-1,1
0,39,1,18,16,2,1,-1,1
0,52,0,0,17,1,1,0,1
0,44,2,16,14,1,1,-1,1
0,21,2,0,13,1,1,1,5
0,42,0,0,12,2,1,0,1
0,35,2,20,19,2,1,0,1
0,26,2,15,13,1,1,-1,1
0,48,1,11,12,2,1,-1,1
1,68,3,0,13,2,1,1,2
0,26,0,11,12,1,1,0,1
0,25,2,10,15,1,1,0,1
0,36,2,18,12,1,1,1,3
1,55,4,0,12,2,1,-1,3
0,41,2,22,14,1,1,-1,1
1,43,0,16,12,1,1,0,3
0,66,1,12,12,2,1,-1,2
0,42,1,16,17,2,1,0,1
0,29,1,12,16,2,1,0,1
0,41,1,15,16,2,1,0,3
0,19,1,2,11,2,1,0,5
1,47,0,20,18,1,1,0,1
0,49,0,17,13,1,1,0,3
0,58,0,17,12,1,1,0,1
1,19,0,7,12,2,1,1,5
0,35,1,12,12,1,1,0,1
1,30,2,16,12,2,1,0,1
0,42,2,16,15,1,1,-1,1
0,54,1,16,12,2,1,-1,3
1,43,2,1,12,2,1,-1,1
0,33,0,15,16,2,1,0,1
0,21,3,6,12,1,1,0,5
0,26,1,11,12,1,1,-1,1
0,42,0,98,12,1,1,0,1
0,34,0,15,17,1,1,1,1
0,25,3,10,15,2,1,0,3
0,43,1,19,11,1,1,0,1
0,65,1,18,14,1,1,0,1
0,20,1,0,12,1,1,-1,5
0,22,0,4,15,2,1,1,5
0,23,2,0,15,2,1,0,5
0,22,2,5,15,2,1,-1,5
0,22,1,3,15,1,1,0,5
0,20,1,0,13,2,1,-1,5
0,41,3,0,13,1,1,1,1
0,21,0,2,11,2,1,2,1
0,33,0,16,12,1,1,0,1
0,87,1,0,12,2,1,-1,2
0,77,0,0,12,2,1,9,3
0,40,0,15,12,1,1,0,1
0,25,1,8,16,1,1,-1,5
0,51,1,11,12,1,1,-1,1
0,32,2,0,13,2,1,-1,1
0,30,2,9,14,2,1,0,1
0,86,4,0,8,1,1,-1,2
0,40,1,12,16,2,1,-1,1
0,46,0,3,12,2,1,0,3
0,40,1,18,12,2,2,-1,1
0,43,0,21,10,1,3,0,3
0,46,2,18,12,1,1,1,1
0,70,0,0,13,2,1,1,1
0,32,0,14,12,1,1,0,1
0,37,1,19,12,1,1,0,1
0,53,0,0,12,1,1,1,5
0,32,0,1,12,2,2,1,1
0,52,0,16,6,1,1,0,1
0,71,2,0,16,2,1,0,1
1,43,3,6,12,2,1,1,3
0,25,2,13,12,1,2,-1,5
0,46,0,18,12,1,1,0,1
0,66,2,0,14,2,1,0,1
1,42,3,0,12,1,1,-1,3
0,38,1,13,11,1,3,0,3
0,23,0,11,14,1,1,0,1
0,59,0,4,8,2,1,0,1
0,35,3,0,12,2,1,-1,1
0,62,2,0,14,1,1,-1,1
0,19,2,0,11,1,1,-1,5
0,19,1,0,11,2,1,-1,5
0,58,1,0,14,2,1,-1,1
0,59,0,16,16,2,1,0,1
0,19,0,0,11,2,1,1,5
0,68,4,0,9,2,1,1,1
0,47,4,12,13,1,1,2,5
0,19,1,0,11,1,2,0,5
0,35,2,6,11,1,2,0,1
0,44,2,14,12,2,2,-1,3
0,50,2,17,11,1,1,0,2
1,41,2,17,11,2,1,1,3
0,38,2,13,14,2,2,1,1
0,36,0,14,18,2,2,0,1
0,43,1,15,13,1,2,0,1
1,35,0,0,12,2,2,9,4
0,25,3,0,12,1,2,-1,5
0,25,2,11,14,1,2,0,5
1,25,1,12,16,2,1,0,1
1,73,0,0,14,1,1,1,2
0,36,2,22,16,1,1,-1,1
0,35,2,21,13,1,1,0,1
0,67,0,0,12,2,1,1,1
0,51,0,17,13,2,1,1,3
1,58,0,9,12,2,1,1,3
0,40,1,10,12,2,1,0,1
0,68,8,0,13,1,1,3,3
0,19,1,0,8,2,2,-1,5
0,52,1,22,12,1,2,-1,1
0,40,2,10,13,1,1,-1,1
0,53,1,9,13,2,1,0,1
0,63,0,1,14,2,1,1,1
0,75,1,0,16,2,1,1,2
0,38,0,0,12,2,1,1,3
0,38,0,18,14,2,1,1,3
0,49,3,6,16,1,1,-1,3
0,50,2,5,14,2,1,-1,1
0,78,2,0,14,2,1,-1,2
0,57,1,2,8,1,2,1,1
1,69,4,0,12,2,2,0,2
0,68,0,0,12,2,1,2,1
0,72,0,0,14,1,1,0,1
0,58,0,11,12,1,1,0,1
0,45,2,11,13,2,1,-1,1
0,20,1,4,12,1,1,-1,5
0,78,2,6,9,1,1,0,1
0,52,4,0,14,1,1,1,2
0,39,1,8,14,1,1,-1,1
0,81,0,0,12,2,1,0,2
0,36,0,3,12,2,3,2,3
0,51,3,3,0,2,3,0,1
0,78,0,16,18,2,1,2,2
0,25,3,11,12,2,3,0,1
0,41,2,13,12,2,1,-1,3
0,36,2,17,19,1,1,0,1
0,33,1,99,16,2,1,0,1
0,51,2,0,12,1,1,3,1
0,47,1,11,14,2,1,1,1
0,21,1,10,13,2,1,-1,5
0,59,1,0,12,2,1,0,1
0,34,2,18,12,1,1,0,1
0,23,2,98,11,2,1,-1,1
0,76,0,0,7,1,1,0,1
0,40,2,7,12,2,1,-1,1
0,38,3,3,12,2,1,-1,1
0,66,3,0,12,2,1,-1,2
0,73,2,0,7,2,1,-1,2
0,80,0,0,8,1,1,0,5
1,57,0,0,6,2,1,9,3
0,78,2,0,11,2,1,0,2
0,66,3,0,12,2,1,-1,5
0,88,2,0,12,1,1,-1,2
0,58,0,0,12,2,1,1,1
0,39,0,13,12,1,1,1,5
0,31,0,12,12,2,1,0,3
0,51,0,8,16,2,1,0,1
0,37,1,14,17,1,1,-1,1
0,32,2,3,12,2,1,0,1
0,73,3,0,8,2,1,1,2
0,47,0,18,16,1,1,0,1
0,71,2,0,16,2,1,-1,2
1,42,1,0,14,1,1,-1,3
0,75,3,0,12,2,1,1,2
0,72,4,0,10,2,1,1,3
0,63,0,0,16,2,1,0,1
0,89,0,0,8,2,1,0,2
0,49,3,0,4,1,1,1,1
0,64,1,15,12,1,1,9,1
0,64,0,2,12,2,1,9,1
0,46,2,0,12,1,1,-1,1
1,76,4,0,8,2,1,-1,2
0,72,3,0,12,2,1,-1,1
0,77,0,0,13,2,1,1,2
0,46,0,8,12,2,1,2,3
0,24,1,7,14,1,1,-1,5
0,27,1,11,14,2,1,-1,1
0,21,3,4,9,2,1,-1,1
0,32,2,11,20,2,3,-1,5
1,40,0,19,20,1,1,0,1
0,45,2,18,17,2,1,0,3
1,26,0,15,12,2,3,0,1
0,84,0,0,16,2,1,0,2
0,46,2,16,20,2,1,-1,5
0,32,2,12,18,2,1,0,5
1,36,2,16,16,1,1,-1,5
0,21,1,0,14,2,1,0,5
1,30,1,11,14,2,1,-1,5
0,23,2,4,16,2,1,-1,5
0,51,1,9,12,2,1,0,3
0,82,0,0,14,1,1,0,1
0,40,3,21,19,1,1,1,1
0,51,0,21,16,1,1,0,1
0,54,1,10,16,2,1,0,1
0,61,2,0,12,2,1,0,1
0,27,1,12,16,1,3,-1,1
1,55,0,3,6,2,1,1,2
0,33,1,8,98,1,2,-1,1
0,61,2,3,8,2,1,-1,1
0,38,0,9,12,2,1,0,3
0,36,0,0,12,2,1,0,1
0,50,2,3,12,2,1,0,3
0,67,0,0,4,2,1,1,3
0,81,2,99,13,2,1,-1,2
0,50,1,22,17,2,1,0,1
0,63,1,21,17,1,1,-1,1
0,43,1,16,18,2,1,-1,1
0,39,1,0,17,2,1,-1,1
0,47,2,12,13,1,1,1,1
0,44,1,17,14,2,1,0,3
0,28,0,1,98,1,1,0,5
0,32,2,22,14,2,1,2,4
0,20,2,9,13,1,1,0,5
0,50,2,16,12,1,1,-1,1
0,31,0,12,14,2,1,0,1
0,49,1,16,18,2,1,0,1
0,62,2,0,14,2,1,1,2
0,66,1,1,10,1,1,-1,1
0,29,2,18,14,1,1,1,5
0,30,0,11,11,1,1,0,3
0,34,1,16,15,1,2,-1,5
0,63,2,14,12,2,2,-1,1
0,43,0,22,16,2,2,9,3
0,55,0,9,13,2,2,0,1
1,39,3,0,11,2,2,2,1
0,36,0,8,13,1,2,2,5
0,77,0,0,16,2,1,1,2
0,39,0,16,12,1,1,0,3
0,28,2,5,19,2,1,-1,5
0,23,0,5,15,1,1,0,5
0,21,4,0,14,1,1,1,5
0,63,1,0,12,1,1,0,1
